genes_input,genes_retained,true_de,calls,true_positives,false_positives,empirical_fdr,power,bias_mean_log2fc,coverage_95pct,normalization_factor_min,normalization_factor_max,seed
2000,1975,169,129,107,22,0.17054263565891473,0.6331360946745562,0.04469624996155412,0.9763313609467456,0.6247209548557946,1.3545595624587443,2024
2000,1978,175,138,114,24,0.17391304347826086,0.6514285714285715,-0.03167896638897044,0.9542857142857143,0.7383077567404603,1.2547307265661105,2025
2000,1992,178,136,115,21,0.15441176470588236,0.6460674157303371,0.01574698580421706,0.9269662921348315,0.7944329451045693,1.2240692207495583,2026
2000,1985,174,126,103,23,0.18253968253968253,0.5919540229885057,-0.014293505677673655,0.9597701149425287,0.7586144713473384,1.322243170656778,2027
2000,1990,177,131,109,22,0.16793893129770993,0.615819209039548,0.04630324269721261,0.9322033898305084,0.8201257430010063,1.2699440597643468,2028
2000,1985,175,132,109,23,0.17424242424242425,0.6228571428571429,0.02483226979006427,0.9657142857142857,0.7410748773798798,1.380945488462858,2029
2000,1974,173,131,108,23,0.17557251908396945,0.6242774566473989,0.014377352048121562,0.9364161849710982,0.8043689788262073,1.237869582031516,2030
2000,1974,178,140,118,22,0.15714285714285714,0.6629213483146067,0.02689674609065162,0.9269662921348315,0.6450384847402725,1.425305656376769,2031
2000,1984,175,128,107,21,0.1640625,0.6114285714285714,0.014694584539810625,0.9257142857142857,0.6935112292911578,1.3245673084609346,2032
2000,1989,177,146,125,21,0.14383561643835616,0.7062146892655368,0.021628171782066982,0.9548022598870056,0.7133691528246252,1.140525112801597,2033
2000,1985,174,143,120,23,0.16083916083916083,0.6896551724137931,0.016210951436164103,0.9482758620689655,0.7564265830195672,1.120175982279026,2034
2000,1979,174,139,117,22,0.15827338129496402,0.6724137931034483,-0.008959072600776732,0.9597701149425287,0.8000630162824692,1.2866930838761446,2035
2000,1993,177,141,119,22,0.15602836879432624,0.672316384180791,-0.03443350744892929,0.943502824858757,0.8409974190024604,1.2693579898535716,2036
2000,1995,179,141,120,21,0.14893617021276595,0.6703910614525139,0.06657059462701345,0.9441340782122905,0.835838018281122,1.2537166799311739,2037
2000,1992,176,137,116,21,0.15328467153284672,0.6590909090909091,0.09990856043767528,0.9318181818181818,0.7404800934468243,1.2007408614210884,2038
2000,1978,175,142,117,25,0.176056338028169,0.6685714285714286,0.004889035514898378,0.9485714285714286,0.868547949806789,1.2079955422167306,2039
2000,1980,177,136,116,20,0.14705882352941177,0.655367231638418,0.019999372199016822,0.9491525423728814,0.7000131666045096,1.1393588188149493,2040
2000,1956,173,140,119,21,0.15,0.6878612716763006,-0.042630464775467246,0.9421965317919075,0.7601821014548521,1.1136709683294894,2041
2000,1986,172,129,106,23,0.17829457364341086,0.6162790697674418,-0.013104891622759587,0.9244186046511628,0.7409983990206077,1.2224778519088324,2042
2000,1985,175,130,111,19,0.14615384615384616,0.6342857142857142,-0.013231337358684554,0.96,0.6062369541726838,1.3011555626381852,2043
